id_left,name_left,description_left,price_left,cluster_id_left,id_right,name_right,description_right,price_right,cluster_id_right,label,pair_id
abt_730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,411,buy_775,lg ldf6920bb fully integrated dishwasher,,,271,0,abt_730#buy_775
abt_670,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,698,buy_820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,991,0,abt_670#buy_820
abt_497,denon blu-ray disc dvd/cd player dvd3800bdci,denon blu-ray disc dvd/cd player dvd3800bdci 10-bit realta hqv video processor 1080p/24fps output and multi-cadence detection hdmi 1.3 a output with 36-bit deep color support dual 32-bit floating point dsp multi-layered construction with dual-layered top shields and triple-layered bottom suppress vibration hybrid ( s.v.h. ) loader black finish,1999.0,115,buy_239,denon dvd-2930ci dvd player dvd2930ci,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black",448.0,461,0,abt_497#buy_239
abt_644,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t 3 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,70,buy_299,panasonic kx-tg1032s dual handset digital cordless phone,1 x phone line ( s ) headset jack silver,61.14,891,0,abt_644#buy_299
abt_464,sony silver minidv handycam camcorder dcrhc52,sony silver minidv handycam camcorder dcrhc52 680k pixels imager carl zeiss vario-tessar lens 40x optical zoom and 2000x digital zoom 2.5 ' touch panel lcd display super steadyshot image stabilization super nightshot plus technology easy handycam button fader effects manual focus multi-language menu silver finish,,381,buy_32,sony minidv head cleaner dvm12cld,head cleaner,7.95,802,0,abt_464#buy_32
abt_855,onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b,"onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b 100 watts per channel all discrete circuitry linear optimum gain volume dolby digital plus , dolby truehd and dts-hd decoding hdmi version v1 .3 a repeater dsd processing audyssey dynamic eq accurate speaker distance setting hdmi deep color capable ( 36bit ) analog to hdmi 1080p upconversion faroudja dcdi cinema black finish",,740,buy_1061,onkyo tx-nr906 a/v receiver txnr906b,"thx ultra 2 , dolby digital plus , dolby truehd , dts-hd , neural surroundfm , am",1497.99,886,0,abt_855#buy_1061
abt_671,speck seethru pink hard shell case for macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,,235,buy_817,speck products seethru case for apple 13 ' macbook mb13-clr-see-v2,plastic clear,,992,0,abt_671#buy_817
abt_255,whirlpool white front load washer wfw9200swh,whirlpool duet wfw9200sq white front load washer wfw9200swh 4.0 cu . ft. capacity 6th sense technology quiet wash plus noise reduction built-in water heater add-a-garment feature sanitary cycle 4 temperature selections white finish,,0,buy_871,whirlpool 27 ' duet washer horiz axis wp,,910.91,0,1,abt_255#buy_871
abt_328,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s up to 17 hours of talk time expandable up to 6 handsets up to 3-way conference capability light-up indicator with ringer/message alert backlit lcd on handset digital speakerphone 16-minute all-digital answering system silver finish,69.0,891,buy_302,panasonic kx-tga101s dect 6.0 expansion handset,,36.04,952,0,abt_328#buy_302
abt_345,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",,473,buy_874,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",461.96,624,0,abt_345#buy_874
abt_466,sony 30gb handycam hard disk drive camcorder dcrsr45,sony 30gb handycam hard disk drive camcorder dcrsr45 1/8 ' advanced had ccd imager 40x optical/2000x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display hybrid recording to hard disk drive or memory stick media built-in zoom microphone with 5.1 ch recording carl zeiss vario-tessar lens usb 2.0 interface super nightshot infrared system,,533,buy_579,sony handycam hdr-sr10 high definition digital camcorder hdrsr10,16:9 2.7 ' hybrid lcd,549.0,15,0,abt_466#buy_579
abt_190,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b frequency-hopping spread spectrum technology all-digital voice mail system handles up to 4 lines tollsaver 2-way recording black finish,,292,buy_34,panasonic kx-ts108w corded phone,1 x phone line ( s ) white,,188,0,abt_190#buy_34
abt_1021,linksys compact wireless-g usb adapter wusb54gc,linksys compact wireless-g usb adapter wusb54gc connects your desktop or notebook to a wireless network at up to 54mbps when used with a usb 2.0 port compatible with wireless-b networks ( at 11mbps ) protected by wpa and up to 128-bit data encryption,39.0,531,buy_17,linksys wireless-g range expander wireless bridge wre54g,54mbps,,585,0,abt_1021#buy_17
abt_719,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,,399,buy_798,1.6 cu.ft . over the range microwave,,,757,0,abt_719#buy_798
abt_519,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb 5x optical zoom nikkor glass lens electronic vr image stabilization bright 2.5 ' high resolution lcd in-camera red-eye fix face-priority af d-lighting cool blue finish,,612,buy_399,nikon digital camera leather case 5811,leather black,7.99,772,0,abt_519#buy_399
abt_675,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000,"sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000 1366 x 768p resolution advanced contrast enhancer circuit ( ace ) bravia engine fully digital video processor atsc/ntsc tuner with qam 9,000:1 dynamic contrast ratio 3d comb filter black finish",,826,buy_1021,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,290,0,abt_675#buy_1021
abt_14,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95,789,buy_517,panasonic kx-tga630s cordless handset,silver pearl wall-mountable,28.34,464,0,abt_14#buy_517
abt_647,sony white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht,sony icfc1ipmk2 white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht unique adjustable backstop for ipods 3 wake-sleep sound alert options digital am-fm tuner alarm clock automatic time set automatic daylight savings time battery charger audio input white finish,,363,buy_1074,sony xdr-s10hdip clock radio with ipod dock xdrs10hdip,lcd,149.95,839,0,abt_647#buy_1074
